"","geschlecht","groesse","alter","luzern"
"1","weiblich",170.05,21,"ja"
"2","weiblich",170.63,26,"ja"
"3","männlich",165.3,26,"ja"
"4","männlich",163.04,24,"ja"
"5","männlich",164.23,21,"nein"
"6","weiblich",169.22,21,"ja"
"7","weiblich",166.82,25,"ja"
"8","weiblich",170.78,23,"ja"
"9","weiblich",171.53,26,"ja"
"10","weiblich",167.23,21,"ja"
"11","weiblich",177.51,23,"ja"
"12","weiblich",182.29,26,"ja"
"13","weiblich",175.37,25,"ja"
"14","weiblich",172.94,19,"ja"
"15","männlich",165.13,21,"ja"
"16","weiblich",172.76,24,"ja"
"17","weiblich",175.69,23,"ja"
"18","weiblich",168.06,25,"ja"
"19","weiblich",180.53,24,"ja"
"20","männlich",156.64,21,"ja"
"21","weiblich",167.38,26,"nein"
"22","männlich",158.33,18,"nein"
"23","männlich",150.31,20,"ja"
"24","männlich",166.14,22,"ja"
"25","weiblich",176.42,20,"ja"
"26","weiblich",174.01,24,"nein"
"27","weiblich",172.8,18,"ja"
"28","weiblich",172.87,27,"ja"
"29","weiblich",168.68,22,"nein"
"30","männlich",161.8,26,"ja"
"31","weiblich",176.97,28,"ja"
"32","männlich",158.8,20,"ja"
"33","weiblich",177.54,26,"ja"
"34","männlich",161.69,21,"ja"
"35","weiblich",170.6,26,"nein"
"36","weiblich",183.78,26,"ja"
"37","weiblich",169.35,24,"ja"
"38","weiblich",178.63,25,"ja"
"39","männlich",162.37,22,"ja"
"40","männlich",165.32,24,"ja"
"41","männlich",162.6,22,"ja"
"42","männlich",158.35,22,"ja"
"43","weiblich",172.46,25,"nein"
"44","weiblich",175.05,22,"ja"
"45","weiblich",181.26,21,"ja"
"46","männlich",162.24,21,"ja"
"47","weiblich",168.74,22,"nein"
"48","weiblich",169.38,23,"ja"
"49","männlich",164.31,20,"ja"
"50","männlich",164.64,23,"ja"
"51","weiblich",173.36,23,"ja"
"52","weiblich",176.1,20,"nein"
"53","weiblich",172.55,24,"ja"
"54","männlich",159.73,23,"nein"
"55","männlich",162.29,23,"nein"
"56","männlich",163.27,21,"nein"
"57","weiblich",169.68,16,"ja"
"58","weiblich",181.54,25,"nein"
"59","weiblich",181.67,23,"ja"
"60","weiblich",169.16,24,"ja"
"61","männlich",165.88,22,"ja"
"62","männlich",160.84,23,"ja"
"63","weiblich",171.54,25,"ja"
"64","männlich",166.25,20,"ja"
"65","weiblich",177.86,22,"nein"
"66","weiblich",185.31,24,"nein"
"67","weiblich",179.71,26,"ja"
"68","weiblich",173.03,25,"ja"
"69","männlich",154.37,18,"ja"
"70","weiblich",176.4,26,"ja"
"71","weiblich",169.35,26,"ja"
"72","weiblich",177.98,23,"ja"
"73","weiblich",177.5,25,"ja"
"74","weiblich",185.12,28,"nein"
"75","weiblich",179.61,20,"ja"
"76","männlich",164.26,27,"ja"
"77","weiblich",171.48,24,"nein"
"78","männlich",163.61,23,"ja"
"79","weiblich",171.24,27,"nein"
"80","weiblich",178.04,25,"ja"
"81","weiblich",176.95,23,"ja"
"82","männlich",163.05,21,"ja"
"83","weiblich",169.6,22,"ja"
"84","weiblich",179.75,16,"nein"
"85","männlich",165.14,22,"nein"
"86","weiblich",175.77,28,"ja"
"87","männlich",162.83,24,"ja"
"88","weiblich",177.17,23,"ja"
"89","weiblich",180.77,24,"ja"
"90","weiblich",166.84,19,"ja"
"91","männlich",163.5,23,"nein"
"92","weiblich",174.84,24,"ja"
"93","männlich",157.07,22,"nein"
"94","weiblich",174.4,23,"ja"
"95","weiblich",171.81,20,"nein"
"96","weiblich",178.03,23,"nein"
"97","weiblich",181.63,27,"nein"
"98","weiblich",179.04,26,"ja"
"99","weiblich",177.56,26,"ja"
"100","weiblich",169.21,20,"ja"
"101","weiblich",167.54,23,"ja"
"102","weiblich",168.45,23,"nein"
"103","männlich",159.45,26,"ja"
"104","männlich",164.11,23,"nein"
"105","weiblich",178.47,22,"ja"
"106","weiblich",175.12,22,"ja"
"107","weiblich",175.52,21,"nein"
"108","männlich",164.21,20,"ja"
"109","weiblich",170.63,22,"ja"
"110","männlich",158.64,19,"ja"
"111","weiblich",177.2,20,"ja"
"112","weiblich",167.31,27,"nein"
"113","männlich",166.22,28,"ja"
"114","weiblich",186.1,22,"ja"
"115","männlich",163.26,25,"nein"
"116","weiblich",169.6,19,"ja"
"117","weiblich",179.86,26,"ja"
"118","weiblich",172.66,21,"ja"
"119","männlich",166.28,25,"nein"
"120","weiblich",176.92,26,"ja"
"121","weiblich",170.93,24,"nein"
"122","weiblich",175.72,23,"ja"
"123","weiblich",168.15,24,"ja"
"124","weiblich",179.4,21,"nein"
"125","männlich",164.09,21,"ja"
"126","weiblich",170.42,22,"ja"
"127","weiblich",183.91,28,"ja"
"128","männlich",165.34,19,"nein"
"129","weiblich",179.96,24,"nein"
"130","weiblich",173.84,25,"ja"
"131","männlich",164.36,24,"ja"
"132","weiblich",167.36,22,"nein"
"133","weiblich",174.32,24,"ja"
"134","weiblich",180.33,24,"ja"
"135","weiblich",174.38,20,"nein"
"136","männlich",164.22,23,"ja"
"137","weiblich",182.81,23,"ja"
"138","weiblich",167.5,22,"nein"
"139","weiblich",173.08,24,"nein"
"140","männlich",164.99,26,"ja"
"141","weiblich",170.4,28,"ja"
"142","weiblich",184.03,23,"ja"
"143","männlich",165.22,21,"ja"
"144","weiblich",168.49,20,"ja"
"145","weiblich",176.44,22,"ja"
"146","weiblich",172.04,25,"nein"
"147","weiblich",177.51,25,"nein"
"148","männlich",158.39,25,"ja"
"149","männlich",164.81,26,"ja"
"150","männlich",165.22,19,"nein"
"151","weiblich",170.46,19,"nein"
"152","weiblich",167.79,25,"nein"
"153","weiblich",170.72,24,"ja"
"154","weiblich",179.72,20,"ja"
"155","weiblich",172.21,27,"ja"
"156","männlich",162.48,24,"ja"
"157","männlich",159.02,21,"ja"
"158","männlich",164.1,22,"ja"
"159","männlich",164.11,24,"ja"
"160","männlich",159.28,19,"ja"
"161","weiblich",167.08,25,"ja"
"162","männlich",160.07,25,"ja"
"163","weiblich",173.83,22,"ja"
"164","weiblich",168.31,25,"nein"
"165","weiblich",175.54,24,"ja"
"166","weiblich",174.32,28,"nein"
"167","weiblich",169.44,23,"ja"
"168","weiblich",170.37,21,"nein"
"169","weiblich",182.42,22,"nein"
"170","männlich",164.62,27,"nein"
"171","männlich",163.58,23,"ja"
"172","männlich",163.54,21,"ja"
"173","weiblich",166.64,18,"nein"
"174","männlich",162.43,22,"ja"
"175","männlich",159.46,20,"ja"
"176","männlich",161.71,17,"ja"
"177","weiblich",170.78,23,"ja"
"178","männlich",162.15,23,"ja"
"179","weiblich",187.44,29,"ja"
"180","weiblich",176.06,22,"nein"
